Date,Open,High,Low,Close,Volume
2015-01-02,30.476178526331594,31.00390493924458,30.476178526331594,30.740041732788086,62262
2015-01-05,30.74004233454661,30.87197265686377,30.476179122924805,30.476179122924805,85607
2015-01-07,30.476170605667043,30.608100891113285,30.21230746778778,30.60810089111328,104183
2015-01-08,30.871967660003776,31.0039005279541,30.476174190126965,31.0039005279541,105000
2015-01-09,30.871971130371094,31.0039040131522,30.740040814577352,30.871971130371094,51985
2015-01-12,31.13582972485156,31.927419203522778,31.00389942856652,31.531625747680664,125962
2015-01-13,31.927418297331556,32.05934858987204,31.53162485272319,31.663555145263672,95189
2015-01-14,31.663560127405905,31.927423320991668,31.135833740234375,31.135833740234375,104518
2015-01-15,31.399692884408633,31.663556043965706,31.00389942856652,31.531625747680664,90141
2015-01-16,31.663555145263675,31.79548800479107,31.135828841127907,31.663555145263672,136694
2015-01-19,31.663555145263675,31.79548800479107,31.39969199319579,31.663555145263672,114436
2015-01-20,31.927418297331556,31.927418297331556,31.53162485272319,31.663555145263672,166815
2015-01-21,31.79548800479107,31.79548800479107,31.267761700655306,31.663555145263672,172386
2015-01-22,31.399692884408633,31.663556043965706,31.399692884408633,31.531625747680664,109227
2015-01-23,31.53162485272319,31.79548800479107,31.53162485272319,31.663555145263672,311805
2015-01-26,31.531628985588654,31.79549217224121,31.531628985588654,31.79549217224121,136283
2015-01-27,31.79548800479107,32.05934858987204,31.53162485272319,31.663555145263672,157605
2015-01-28,31.795490148401345,32.45514678955078,31.531626978544153,32.45514678955078,276271
2015-01-29,32.45514623407295,32.71900939941406,32.45514623407295,32.71900939941406,407065
2015-01-30,32.71901420050687,33.114807723102594,32.587081314983344,32.85094451904297,316622
2015-02-02,33.11480637043648,34.038326263427734,32.98287605728944,34.038326263427734,580009
2015-02-03,34.17025476236238,34.30218505859375,33.51059558024459,34.30218505859375,287542
2015-02-04,34.56604766845703,34.56604766845703,33.9063910638145,34.56604766845703,230199
2015-02-05,34.56604766845703,34.56604766845703,34.4341173743233,34.56604766845703,214287
2015-02-06,34.5660503514109,35.35763987861584,34.302187175675925,35.09377670288086,269302
2015-02-09,34.96184639850694,35.09377670288086,34.434120047036984,35.09377670288086,170371
2015-02-10,35.489562985688245,35.489562985688245,34.434113063781254,34.82990646362305,234600
2015-02-11,34.82990646362305,35.09376958584645,34.56604334139964,34.82990646362305,69331
2015-02-12,34.961845838969616,35.35763931274414,34.56604979820798,35.35763931274414,229044
2015-02-13,35.48957018298976,35.621503054350825,35.09377670288086,35.09377670288086,179264
2015-02-16,35.35763651116958,35.489566802978516,35.09377336056482,35.489566802978516,84955
2015-02-17,35.35763931274414,35.35763931274414,34.829912969720034,35.35763931274414,125098
2015-02-18,35.09377934608724,35.62150573730469,34.82991615047851,35.62150573730469,201535
2015-02-19,36.14923891697534,37.072758991539736,36.14923891697534,36.5450325012207,235115
2015-02-20,36.67695617675781,36.80888648264059,36.28116012513513,36.67695617675781,232077
2015-02-23,36.808887896644556,37.204681396484375,36.676957585693714,37.204681396484375,234619
2015-02-24,37.46854025448514,38.65592575073242,37.46854025448514,38.65592575073242,262438
2015-02-25,38.655929982801844,39.05172348022461,38.655929982801844,39.05172348022461,236010
2015-02-26,39.0517336322975,39.57946014404297,38.78787037642477,39.57946014404297,151509
2015-02-27,39.57944985477981,39.711380164924975,38.919793170079444,39.05172348022461,340678
2015-03-02,39.051720669808375,39.315583838096664,39.051720669808375,39.183650970458984,154322
2015-03-03,39.57944552160299,39.71137581730437,38.12819943395296,38.65592575073242,202911
2015-03-04,38.52399785078113,38.52399785078113,36.41309487871959,38.128204345703125,230890
2015-03-05,38.260128021240234,39.0517174610629,38.260128021240234,38.260128021240234,180160
